Date,Price,Open,High,Low,Vol.,Change %
31/3/2023,18909,18909,19000,18500,26.15,0.00%
30/3/2023,18909,19091,19227,18864,23.05,0.00%
29/3/2023,18909,18818,19182,18818,19.74,0.48%
28/3/2023,18818,19000,19091,18818,13.56,-0.48%
27/3/2023,18909,18545,19000,18500,22.29,1.96%
24/3/2023,18545,18591,18636,18455,15.06,0.00%
23/3/2023,18545,18364,18545,18227,11.82,0.49%
22/3/2023,18455,18682,18727,18318,14.14,-0.73%
21/3/2023,18591,18364,18682,18045,20.97,2.25%
20/3/2023,18182,18545,18727,18182,25.29,-1.96%
17/3/2023,18545,19136,19136,18545,37.35,-2.16%
16/3/2023,18955,19091,19182,18636,33.27,-2.11%
15/3/2023,19364,18909,19364,18727,29.46,4.93%
14/3/2023,18455,19136,19182,18364,33.95,-3.79%
13/3/2023,19182,19136,19455,19000,23.02,-0.94%
10/3/2023,19364,19227,19500,19091,24.7,0.47%
9/3/2023,19273,19273,19591,19273,25.6,0.00%
8/3/2023,19273,19000,19273,18909,17.78,0.47%
7/3/2023,19182,18727,19409,18682,32.26,3.43%
6/3/2023,18545,18773,18955,18545,12.5,0.24%
3/3/2023,18500,18909,19182,18500,14.97,-1.21%
2/3/2023,18727,19091,19182,18727,9.75,-1.44%
1/3/2023,19000,18182,19000,18000,20.48,4.50%
28/2/2023,18182,18591,18636,18091,16.74,-0.50%
27/2/2023,18273,18545,18682,18136,34.45,-3.36%
24/2/2023,18909,19545,19545,18773,16.06,-3.25%
23/2/2023,19545,19227,19545,18545,36.95,1.41%
22/2/2023,19273,19455,20091,19273,35.9,-1.85%
21/2/2023,19636,20045,20273,19636,22.71,-1.37%
20/2/2023,19909,19091,19909,19091,27.22,4.28%
17/2/2023,19091,19364,19409,19091,13.52,-1.41%
16/2/2023,19364,19045,19455,18727,26.31,2.41%
15/2/2023,18909,18727,19136,18409,22.08,0.97%
14/2/2023,18727,18455,19000,18409,19.02,1.98%
13/2/2023,18364,18545,18545,17955,20.62,-1.46%
10/2/2023,18636,18818,18909,18318,17.41,-0.49%
9/2/2023,18727,19091,19318,18727,17.98,-1.20%
8/2/2023,18955,17955,19182,17955,37.19,5.57%
7/2/2023,17955,19227,19273,17909,47.72,-6.62%
6/2/2023,19227,19182,19227,18682,24.51,0.23%
3/2/2023,19182,19500,19591,19091,23.05,-0.94%
2/2/2023,19364,19273,19727,19182,27.93,0.95%
1/2/2023,19182,20182,20591,19091,57.1,-4.52%
31/1/2023,20091,19909,20091,19727,30.92,1.61%
30/1/2023,19773,19727,20182,19409,46.58,1.17%
27/1/2023,19545,19091,19591,18955,29.18,1.65%
19/1/2023,19227,19636,19864,18955,48.33,-2.53%
18/1/2023,19727,20000,20045,19591,28.44,0.23%
17/1/2023,19682,18591,19682,18591,45.74,6.92%
16/1/2023,18409,18182,18773,18136,24.55,1.51%
13/1/2023,18136,18409,18500,18091,21.09,-0.50%
12/1/2023,18227,18273,18409,18091,22.19,-0.75%
11/1/2023,18364,18182,18682,18091,28.28,2.02%
10/1/2023,18000,17818,18273,17455,29.54,1.02%
9/1/2023,17818,18000,18273,17727,17.8,1.03%
6/1/2023,17636,17909,18273,17455,21.59,-2.02%
5/1/2023,18000,17636,18182,17409,23.65,2.06%
4/1/2023,17636,17682,18000,17545,22.25,0.78%
3/1/2023,17500,16636,17500,16545,30.79,6.94%
30/12/2022,16364,16455,16773,16273,15.9,0.00%
29/12/2022,16364,16636,16818,16227,19.17,-1.09%
28/12/2022,16545,16727,16818,16318,15.74,-0.28%
27/12/2022,16591,15545,16591,15545,26.02,6.73%
26/12/2022,15545,16636,16636,15545,34.51,-6.82%
23/12/2022,16682,17136,17182,16455,27.29,-2.91%
22/12/2022,17182,17364,17818,17000,20.86,0.00%
21/12/2022,17182,17636,17682,16455,30.47,-0.53%
20/12/2022,17273,18000,18273,17045,50.11,-5.00%
19/12/2022,18182,18727,19318,18182,52.84,-1.96%
16/12/2022,18545,17455,18591,17227,60.92,5.42%
15/12/2022,17591,17364,17864,17364,23.08,0.78%
14/12/2022,17455,17591,17818,17273,37.71,1.05%
13/12/2022,17273,16909,17273,16591,26.78,2.15%
12/12/2022,16909,17455,17773,16909,39.42,-3.13%
9/12/2022,17455,17182,17682,16818,38,1.59%
8/12/2022,17182,17182,17591,16818,32.94,3.56%
7/12/2022,16591,16364,17409,16091,38.08,-1.88%
6/12/2022,16909,18091,18136,16909,69.05,-7.00%
5/12/2022,18182,18000,18545,17727,51.17,2.83%
2/12/2022,17682,16364,17682,16182,50.25,6.87%
1/12/2022,16545,17045,17864,16364,73.25,-1.09%
30/11/2022,16727,15955,16727,15636,63.49,5.75%
29/11/2022,15818,15091,15864,14864,70.74,6.42%
28/11/2022,14864,14182,14864,14182,64.73,6.87%
25/11/2022,13909,13273,13909,13045,29.19,6.62%
24/11/2022,13045,12455,13091,12364,34.23,3.99%
23/11/2022,12545,13364,13500,12545,33.33,-6.76%
22/11/2022,13455,13318,14045,13136,47.57,-1.00%
21/11/2022,13591,13818,13864,13409,34.77,-0.99%
18/11/2022,13727,13273,13818,12955,109.62,5.96%
17/11/2022,12955,12636,12955,12545,23.67,6.75%
16/11/2022,12136,11182,12136,10727,38.39,6.79%
15/11/2022,11364,10909,11409,10909,44.46,2.46%
14/11/2022,11091,11045,11318,10773,66.3,-0.81%
11/11/2022,11182,11182,11500,10909,66.79,1.65%
10/11/2022,11000,11545,11636,11000,87.72,-6.92%
9/11/2022,11818,12000,12364,11773,36.06,-1.15%
8/11/2022,11955,11909,12455,11818,50.9,-4.01%
7/11/2022,12455,13227,13455,12455,42.09,-6.48%
4/11/2022,13318,13636,13773,13182,48.28,-3.62%
3/11/2022,13818,13864,14045,13727,22.69,-0.98%
2/11/2022,13955,13636,14273,13636,44.13,2.34%
1/11/2022,13636,14318,14545,13455,89.71,-4.15%
31/10/2022,14227,14227,14545,14227,72.93,-6.85%
28/10/2022,15273,15818,16045,15273,34.32,-3.45%
27/10/2022,15818,15409,16000,15364,23.5,2.95%
26/10/2022,15364,15455,15818,15318,12.37,-1.16%
25/10/2022,15545,14909,15909,14591,34.22,4.27%
24/10/2022,14909,15455,15500,14727,30.77,-2.96%
21/10/2022,15364,16636,16636,15364,49.67,-6.63%
20/10/2022,16455,16682,16909,16409,28.64,-1.63%
19/10/2022,16727,17136,17136,16682,22.26,-2.39%
18/10/2022,17136,17727,17909,17000,26.83,-2.08%
17/10/2022,17500,17500,17591,17182,18.77,-1.03%
14/10/2022,17682,17955,18091,17545,24.85,-0.25%
13/10/2022,17727,17091,17818,16864,26.62,4.28%
12/10/2022,17000,16182,17000,15909,31.9,6.86%
11/10/2022,15909,16727,16727,15773,29.09,-4.63%
10/10/2022,16682,15727,16909,15636,27.57,4.26%
7/10/2022,16000,16045,16182,15500,40.12,-2.22%
6/10/2022,16364,17545,17545,16364,41.21,-6.25%
5/10/2022,17455,17455,17591,17136,27.85,1.86%
4/10/2022,17136,18273,18409,16955,33.56,-4.56%
3/10/2022,17955,19273,19273,17955,36.93,-6.84%
30/9/2022,19273,19545,19682,18818,25.71,-2.08%
29/9/2022,19682,20136,20273,19682,11.36,-0.69%
28/9/2022,19818,20182,20409,19636,15.47,-2.68%
27/9/2022,20364,20409,20455,20091,9.91,0.00%
26/9/2022,20364,20409,20545,19864,28.46,-1.32%
23/9/2022,20636,20955,21091,20636,16.05,-1.31%
22/9/2022,20909,20636,21000,20591,12.75,0.44%
21/9/2022,20818,20818,20864,20636,10.91,-0.44%
20/9/2022,20909,20727,20909,20545,12.66,1.54%
19/9/2022,20591,21000,21136,20409,30.23,-1.52%
16/9/2022,20909,21273,21455,20909,30.26,-2.54%
15/9/2022,21455,21727,21727,21318,15.1,-0.42%
14/9/2022,21545,21136,21636,21136,29.73,0.00%
13/9/2022,21545,21591,21818,21364,16.15,-0.42%
12/9/2022,21636,21727,22091,21636,28.79,0.00%
9/9/2022,21636,21227,21636,21000,28.65,3.03%
8/9/2022,21000,21091,21318,20818,22.4,0.44%
7/9/2022,20909,21409,21636,20909,27.53,-2.34%
6/9/2022,21409,21818,22000,21409,16.87,-1.46%
5/9/2022,21727,20955,21909,20955,28.91,3.91%
31/8/2022,20909,20909,21045,20682,16.48,-0.22%
30/8/2022,20955,21000,21182,20864,16.84,0.22%
29/8/2022,20909,20955,21136,20591,35.71,-2.13%
26/8/2022,21364,21818,21818,21364,18.12,-1.47%
25/8/2022,21682,21591,21864,21455,20.09,1.49%
24/8/2022,21364,21500,21591,21364,13.34,-0.63%
23/8/2022,21500,21000,21500,21000,18.36,1.29%
22/8/2022,21227,21500,21591,21045,26.18,-1.69%
19/8/2022,21591,21909,22045,21500,34.6,-1.66%
18/8/2022,21955,21909,22136,21864,25.54,-0.62%
17/8/2022,22091,22364,22409,21955,30.19,-1.02%
16/8/2022,22318,21818,22455,21818,72.04,2.29%
15/8/2022,21818,21909,22000,21636,34.66,0.21%
12/8/2022,21773,21182,21864,21136,37.18,2.35%
11/8/2022,21273,21864,21955,21182,37.79,-1.68%
10/8/2022,21636,21818,22182,21636,33.14,-1.25%
9/8/2022,21909,21727,22091,21500,53.04,2.12%
8/8/2022,21455,21273,21727,21182,33.4,1.29%
5/8/2022,21182,21273,21500,21045,46.77,-1.48%
4/8/2022,21500,21727,21773,21364,33.04,-0.42%
3/8/2022,21591,20636,21682,20545,64.73,3.71%
2/8/2022,20818,20818,21045,20636,30.5,0.44%
1/8/2022,20727,19727,20773,19636,41.96,6.05%
29/7/2022,19545,19636,19955,19545,22.65,0.46%
28/7/2022,19455,19545,19727,19318,25.86,0.71%
27/7/2022,19318,19500,19545,19136,31.46,-1.85%
26/7/2022,19682,19818,20000,19636,29.02,-1.14%
25/7/2022,19909,20182,20273,19818,22.79,-1.35%
22/7/2022,20182,20636,20727,20182,18.31,-2.20%
